CVE-2021-45606||某些NETGEAR设备受到认证用户基于堆栈的缓冲区溢出的影响。这影响到1.0.1.70之前的R6400，1.0.11.126之前的R7000，1.0.4.46之前的R7900，1.4.2.84之前的R7900P，1.4.2.84之前的R7960P，1.0.4.74之前的R8000，1.4.2.84之前的R8000P，1.0.4.120之前的RAX200。0.4.120之前，1.5.1.80之前的RS400，1.0.4.118之前的R6400v2，1.3.3.140之前的R7000P，1.0.4.120之前的RAX80，1.0.4.118之前的R6700v3，1.3.3.140之前的R6900P，以及1.0.4.120之前的RAX75。
CVE-2021-45607||某些 NETGEAR 设备受到认证用户基于堆栈的缓冲区溢出的影响。这影响到 1.0.4.118 之前的 R6400v2、1.0.4.118 之前的 R6700v3、1.3.3.140 之前的 R6900P、1.0.11.126 之前的 R7000、1.3.3.140 之前的 R7000P、1.0.5.126 之前的 RAX200、1.0.5.126 之前的 RAX75 和 1.0.5.126 之前的 RAX80。
CVE-2021-45608||某些D-Link、Edimax、NETGEAR、TP-Link、Tenda和Western Digital设备受到未经认证的攻击者的整数溢出影响。不能排除从WAN接口（TCP端口20005）远程执行代码的可能性；但是，可利用性被判断为 "相当复杂"，但不是 "不可能"。溢出是在KCodes NetUSB内核模块的SoftwareBus_dispatchNormalEPMsgOut中。受影响的NETGEAR设备是1.0.1.68之前的D7800，1.0.4.122之前的R6400v2，和1.0.4.122之前的R6700v3。
CVE-2021-45609||某些NETGEAR设备受到未经授权的攻击者的缓冲区溢出的影响。这影响到 1.0.3.58 之前的 D8500、1.0.4.48 之前的 R6250、1.0.11.116 之前的 R7000、1.0.0.64 之前的 R7100LG、1.0.4.38 之前的 R7900、1.0.2.144 之前的 R8300、1.0.2.144 之前的 R8500、1.0.3.68 之前的 XR300、1.3.2.132 之前的 R7000P，以及 1.3.2.132 之前的 R6900P。
CVE-2021-45610||某些 NETGEAR 设备受到未经授权的攻击者的缓冲区溢出的影响。这影响到1.0.0.66之前的D6220，1.0.0.100之前的D6400，1.0.0.66之前的D7000v2，1.0.3.58之前的D8500，1.0.0.52之前的DC112A，1.0.0.118之前的DGN2200v4，1.0.1.64之前的EAX80。0.1.64之前，R6250在1.0.4.48之前，R7000在1.0.11.110之前，R7100LG在1.0.0.72之前，R7900在1.0.4.30之前，R7960P在1.4.1.64之前，R8000在1.0.4.62之前，RAX200在1.0。3.106之前，RS400在1.5.1.80之前，XR300在1.0.3.68之前，R6400v2在1.0.4.106之前，R7000P在1.3.2.132之前，R8000P在1.4.1.64之前，RAX20在1.0.2.82之前，RAX45在1.0.2。82，1.0.3.106之前的RAX80，1.0.4.106之前的R6700v3，1.3.2.132之前的R6900P，1.4.1.64之前的R7900P，1.0.2.82之前的RAX15，1.0.2.82之前的RAX50，以及1.0.3.106之后的RAX75。
CVE-2021-45611||某些NETGEAR设备受到未经授权的攻击者的缓冲区溢出的影响。这影响到1.0.0.52之前的DC112A、1.0.1.68之前的R6400、1.0.3.106之前的RAX200、1.0.1.38之前的WNDR3400v3、1.0.3.68之前的XR300、1.0.2.144之前的R8500、1.0.3.106之前的RAX75、1.0.2.144之前的R8300和1.0.3.106之前的RAX80。
CVE-2021-45612||某些NETGEAR设备受到未经授权的攻击者的命令注入影响。这影响了2.5.0.24之前的CBR40，4.6.3.6之前的CBR750，1.0.0.58之前的EAX20，1.0.1.68之前的EAX80，1.0.0.74之前的EX7500，1.1.6.28之前的LAX20，1.0.6.116之前的MK62，1.0.6.116之前的MR60，1.0.6.116之前的MS60，1.0.6.118之前的R6400v2。4.118之前，1.0.4.118之前的R6700v3，1.3.3.140之前的R6900P，1.0.11.126之前的R7000，1.3.3.140之前的R7000P，1.0.5.74之前的R7850，1.0.4.46之前的R7900，1.4.2.84之前的R7900P，1.4.2.84之前的R7960P，1.0.4.74之前的R8000，1.4.2.84之前的RAX15，1.0.3.96之前的RAX20，1.0.4.120之前的RAX200，1.0.3.96之前的RAX35v2，1.0.3.96之前的RAX40v2，1.0.3.96之前的RAX43，1.0.3.96之前的RAX45，1.0.3.96之前的RAX50，1.0.4.120之前的RAX75，1.0.4.120之前的RBK752，3.2.17.12之前的RBK852，3.2.17.12之前的RBR750，3.2.17.12之前的RBR850，3.2.17.12之前的RBS750，3.2.17.12之前的RBS850，1.5.1.80之前的RS400，1.0.0.58之前的XR1000，和1.0.3.68之前的XR300。
CVE-2021-45613||某些NETGEAR设备受到未经授权的攻击者的命令注入影响。这影响到2.5.0.24之前的CBR40、4.6.3.6之前的CBR750、1.0.0.74之前的D7000v2、1.1.6.28之前的LAX20、1.0.6.116之前的MK62、1.0.6.之前的MR60。116，1.0.6.116之前的MS60，1.1.2.20之前的MR80，1.1.2.20之前的MS80，1.0.3.96之前的RAX15，1.0.3.96之前的RAX20，1.0.4.120之前的RAX200，1.0.3之前的RAX45。96，1.0.3.96之前的RAX50，1.0.3.96之前的RAX43，1.0.3.96之前的RAX40v2，1.0.3.96之前的RAX35v2，1.0.4.120之前的RAX75，1.0.4.120之前的RAX80，RBK752在3。2.17.12之前的RBR750，3.2.17.12之前的RBS750，3.2.17.12之前的RBK852，3.2.17.12之前的RBR850，3.2.17.12之前的RBS850，以及1.0.0.58之前的XR1000。
CVE-2021-45614||某些 NETGEAR 设备受到未经授权的攻击者的命令注入影响。这影响到1.0.0.74之前的D7000v2、1.1.6.28之前的LAX20、1.0.6.116之前的MK62、1.0.6.116之前的MR60、1.0.6之前的MS60。116，1.0.3.96之前的RAX15，1.0.3.96之前的RAX20，1.0.4.120之前的RAX200，1.0.3.96之前的RAX45，1.0.3.96之前的RAX50，1.0.3.96之前的RAX43。96，1.0.3.96之前的RAX40v2，1.0.3.96之前的RAX35v2，1.0.4.120之前的RAX75，1.0.4.120之前的RAX80，3.2.17.12之前的RBK752，3.2.17.12之前的RBS750，3.2.17.12之前的RBK852，3.2.17.12之前的RBR850，3.2.17.12之前的RBS850，以及1.0.0.58之前的XR1000。
CVE-2021-45615||某些 NETGEAR 设备受到未经授权的攻击者的命令注入影响。这影响到2.5.0.24之前的CBR40，4.6.3.6之前的CBR750，1.4.2.84之前的R7900P，1.4.2.84之前的R7960P，1.4.2.84之前的R8000P，1.0.2.154之前的R8300，1.0.2.154之前的RBK752，3.2.17.12之前的RBR750，3.2.17.12之前的RBS750，3.2.17.12之前的RBK852，3.2.17.12之前的RBR850，以及3.2.17.12之前的RBS850。
CVE-2021-45616||某些NETGEAR设备受到未经授权的攻击者的命令注入影响。这影响到3.2.18.2之前的CBR750、1.1.6.28之前的LAX20、1.0.6.116之前的MK62、1.0.6.116之前的MR60、1.0.6.116之前的MS60、1.3.3.140之前的R6900P、1.0.11.126之前的R7000、1.3.3.140之前的R7850，1.0.5.68之前的R7900，1.0.4.46之前的R7900P，1.4.2.84之前的R7960P，1.4.2.84之前的R8000，1.0.4.68之前的R8000P，1.4.2.84之前的RAX15，1.0.3.96之前的RAX20。96，1.0.4.120之前的RAX200，1.0.3.96之前的RAX35v2，1.0.3.96之前的RAX40v2，1.0.3.96之前的RAX43，1.0.3.96之前的RAX45，1.0.3.96之前的RAX50，1.0.4.120之前的RAX75，1.0.4.80。120，3.2.17.12之前的RBK752，3.2.17.12之前的RBK852，3.2.17.12之前的RBR750，3.2.17.12之前的RBR850，3.2.17.12之前的RBS750，3.2.17.12之前的RBS850，1.5.1.80之前的RS400，以及1.0.0.58之前的XR1000。
